msd,ls,pressure
49292.416666665944,163.17432726672885,752.3110137097418
49292.45833333261,163.19721884603732,738.172317494634
49292.49999999927,163.220112124063,725.882546596422
49292.54166666594,163.24300710125135,715.1967196609581
49292.5833333326,163.2659037758176,705.0303923097073
49292.624999999265,163.2888021510739,695.3632238541728
49292.66666666593,163.31170222580124,691.5115476385705
49292.70833333259,163.3346039996969,690.1509039109889
49292.74999999926,163.35750737708085,696.4988002530093
49292.79166666592,163.38041255059653,721.1058095636599
49292.833333332586,163.40331947295044,741.9120307629752
49292.87499999925,163.4262280940742,741.2712765756178
49292.916666665915,163.44913836871913,743.0664278986318
49292.95833333258,163.47205034219033,756.1611362458824
49292.99999999924,163.49496401778484,762.0462113840802
49293.04166666591,163.51787939422624,761.8357656869152
49293.08333333257,163.54079647167333,764.3657915001664
49293.124999999236,163.56371515335695,767.3867487278047
49293.1666666659,163.58663563293914,770.0425557670386
49293.208333332565,163.60955786319934,769.7600563878553
49293.24999999923,163.63248179252489,770.7955600552822
49293.29166666589,163.65540737764928,782.3689818127266
49293.33333333256,163.6783346639039,788.7405159759838
49293.37499999922,163.70126365271165,773.5969829580785
49293.416666665886,163.72419434400393,752.7932106355405
49293.45833333255,163.7471267360175,738.8240015465146
49293.499999999214,163.77006083205765,726.6372676329997
49293.54166666588,163.79299663081008,715.9121298184964
49293.58333333254,163.8159341326856,705.8017890242451
49293.62499999921,163.8388733358873,696.596008824237
49293.66666666587,163.86181424368073,692.7856169054205
49293.708333332535,163.88475685551438,690.8264023053156
49293.7499999992,163.907701168619,696.9873947455816
49293.791666665864,163.93064718665912,721.724046859354
49293.83333333253,163.95359490845766,742.6055743541438
49293.87499999919,163.97654433400447,742.3227886531361
49293.91666666586,163.9994953682733,743.8312679959824
49293.95833333252,164.02244820244564,755.6295628448581
49293.999999999185,164.04540274087861,761.1222326672909
49294.04166666585,164.06835902404907,761.8563781573259
49294.08333333251,164.0913170283583,764.8621984456795
49294.12499999918,164.11427668152282,767.7322158427266
49294.16666666584,164.13723803976887,770.2423949131672
49294.208333332506,164.16020110221945,769.8782423480817
49294.24999999917,164.18316587095921,770.9286128251262
49294.291666665835,164.2061323443059,782.5317249185705
49294.3333333325,164.2291005240492,788.8524394395296
49294.37499999916,164.25207040978412,773.7435069281573
49294.41666666583,164.27504199976505,753.1740038409365
49294.45833333249,164.29801529729343,739.7281422328214
49294.499999999156,164.32099030105778,728.0083129646531
49294.54166666582,164.34396701144638,717.1314309210312
49294.583333332484,164.36694542665316,706.8324789633776
49294.62499999915,164.3899255499876,697.9336388192739
49294.66666666581,164.41290728318378,694.1874723883209
49294.70833333248,164.43589082004624,692.1533343788603
49294.74999999914,164.4588761132233,698.6064894000439
49294.791666665806,164.48186313300278,722.9459512034025
49294.83333333247,164.50485167253234,742.7179877841183
49294.874999999134,164.5278421363511,742.2630590371098
49294.9166666658,164.55083421064174,744.331854909812
49294.95833333246,164.57382799279327,756.2855162947487
49294.99999999913,164.5968234829619,761.824804133399
49295.04166666579,164.61982068153063,762.5131650350854
49295.083333332455,164.64281949030078,765.3049209425183
49295.12499999912,164.6658201926045,768.1987872395432
49295.166666665784,164.68882252512836,770.8032060813912
49295.20833333245,164.71182655775277,770.1925951510093
49295.24999999911,164.73483229784745,771.0337250938225
49295.29166666578,164.75783974822394,782.7099348555138
49295.33333333244,164.78084890755423,789.1685461396963
49295.374999999105,164.80385977639833,774.1896193383606
49295.41666666577,164.82687235494413,753.7101189570424
49295.45833333243,164.84988664137546,740.3544736760475
